SAMPLE_ID,mutations,cna,structural_variants
AdCC5T,WXS,WXS,WXS
AdCC4T,WXS,WXS,WXS
AdCC2T,WXS,WXS,WXS
AdCC9T,WXS,WXS,WXS
AdCC8T,WXS,WXS,WXS
AdCC6T,WXS,WXS,WXS
AdCC32T,WXS,WXS,WXS
AdCC1T,WXS,WXS,WXS
AdCC12T,WXS,WXS,WXS
AdCC3T,WXS,WXS,WXS
AdCC11T,WXS,WXS,WXS
AdCC10T,WXS,WXS,WXS
